title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country,amenities_old,desc_nlp,title_nlp,city
Modern Home with 4 Bedrooms,4.0,3.0,2152,"Al Jawahery Residential City, Baghdad",https://homele.com/properties/modern-home-with-4-bedrooms-75696,"House For Sale, located in Baghdad, Al Jawahery Residential City, with an area of 200m, the price is IQD 290,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms - Sales Center : Baghdad - Al Mansour - Jordan Street - Near Said Halib intersection - Call Center : 7740 - WhatsApp : +9647874777177","['parking', 'security', 'balcony']",House,204514,IRAQ,"['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",house sale located baghdad al jawahery residential city area 200m price iqd 290 000 000 consists 4 bedroom 1 kitchen 1 living room 1 hall 3 bathroom sale center baghdad al mansour jordan street near said halib intersection call center 7740 whatsapp 9647874777177,modern home 4 bedroom,Baghdad
Modern House in Emerald City,2.0,3.0,1722,"Emerald City, Kirkuk",https://homele.com/properties/modern-house-in-emerald-city-72320,"House For Sale, located in Kirkuk, Emerald City, with an area of 160m, the price is IQD 210,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms","['parking', 'security', 'electricity', 'balcony']",House,148096,IRAQ,"['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Sewerage System', '24hr Electricity']",house sale located kirkuk emerald city area 160m price iqd 210 000 000 consists 2 bedroom 1 kitchen 1 living room 1 hall 3 bathroom,modern house emerald city,Kirkuk
1 Bed Apartment with Views,1.0,1.0,968,"Baghdad View, Baghdad",https://homele.com/properties/1-bed-apartment-with-views-75156,"Apartment For Sale, located in Baghdad, Baghdad View, with an area of 90m, the price is IQD 110,500,000. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom",[],Apartment,77927,IRAQ,[],apartment sale located baghdad baghdad view area 90m price iqd 110 500 000 consists 1 bedroom 1 kitchen 1 hall 1 bathroom,1 bed apartment view,Baghdad
Elegant 1 Bedroom Apartment,1.0,1.0,1001,"Boulevard, Erbil",https://homele.com/properties/elegant-1-bedroom-apartment-82905,"Apartment For Sale, located in Erbil, Boulevard, with an area of 92.5m, the price is $103,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor number: 13","['air_conditioning', 'electricity', 'balcony']",Apartment,103500,IRAQ,"['Balcony', 'Central Air-Conditioner', '24hr Electricity', 'Green Area', 'Car Washing', 'Central Fire Fighting System']",apartment sale located erbil boulevard area 92 5m price 103 500 consists 1 bedroom 1 kitchen 1 living room 1 bathroom floor number 13,elegant 1 bedroom apartment,Erbil
Elegant 3-Bedroom Apartment with Beautiful Views,3.0,3.0,1840,"Emperor Hills Complex, Baghdad",https://homele.com/properties/elegant-3-bedroom-apartment-with-beautiful-views-74919,"University Teachers Offers: * The Down Payment has been increased to (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 171m, the price is IQD 299,250,000. - Building C6 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 10","['parking', 'security', 'balcony']",Apartment,211037,IRAQ,"['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",university teacher offer payment increased 5 information offer please contact sale center apartment sale located baghdad emperor hill complex area 171m price iqd 299 250 000 building c6 consists 3 bedroom 1 kitchen 1 hall 3 bathroom floor number 10,elegant 3 bedroom apartment beautiful view,Baghdad
Residential Plot Opposite Garden,3.0,2.0,1614,"Baghlumnara, Erbil",https://homele.com/properties/residential-plot-opposite-garden-83415,"Residential Plot For Sale, located in Erbil, Baghlumnara, with an area of 150m, the price is $49,000.",[],Residential Plot,49000,IRAQ,[],residential plot sale located erbil baghlumnara area 150m price 49 000,residential plot opposite garden,Erbil
Residential Plot Opposite Garden,3.0,2.0,3229,"Azza, Erbil",https://homele.com/properties/residential-plot-opposite-garden-83425,"Residential Plot For Sale, located in Erbil, Azza, with an area of 300m, the price is $32,500.",[],Residential Plot,32500,IRAQ,[],residential plot sale located erbil azza area 300m price 32 500,residential plot opposite garden,Erbil
Spacious House with Multiple Rooms,4.0,3.0,2152,"Hakmawa, Erbil",https://homele.com/properties/spacious-house-with-multiple-rooms-83423,"House For Sale, located in Erbil, Hakmawa, with an area of 200m, the price is $200,000. Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2","['parking', 'balcony']",House,200000,IRAQ,"['Balcony', 'Parking Spaces', 'Green Area']",house sale located erbil hakmawa area 200m price 200 000 consists 4 bedroom 2 kitchen 1 living room 2 hall 3 bathroom floor number 2,spacious house multiple room,Erbil
Modern 2-Bedroom Apartment for Sale,2.0,2.0,1399,"Empire Pearl Towers, Erbil",https://homele.com/properties/modern-2-bedroom-apartment-for-sale-83412,"Apartment For Sale, located in Erbil, Empire Pearl Towers, with an area of 130m, the price is $135,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 18","['parking', 'security', 'balcony']",Apartment,135000,IRAQ,"['Balcony', 'Parking Spaces', 'Electricity Generator', 'Double Glazed Windows', 'Satellite/Cable TV', 'CCTV Security']",apartment sale located erbil empire pearl tower area 130m price 135 000 negotiable consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 18,modern 2 bedroom apartment sale,Erbil
5 Bedroom House for Sale,5.0,4.0,4208,"Aram Village 2, Erbil",https://homele.com/properties/5-bedroom-house-for-sale-83426,"House For Sale, located in Erbil, Aram Village 2, with an area of 391m, the price is $600,000. Consists of: - 5 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms",[],House,130000,IRAQ,[],house sale located erbil aram village 2 area 391m price 600 000 consists 5 bedroom 1 kitchen 1 living room 1 hall 4 bathroom,5 bedroom house sale,Erbil
Spacious 4-Bedroom Apartment in Spanish Village 2,4.0,4.0,3444,"Spanish Village 2, Erbil",https://homele.com/properties/spacious-4-bedroom-apartment-in-spanish-village-2-83428,"Apartment For Sale, located in Erbil, Spanish Village 2, with an area of 320m, the price is $387,500. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms",[],Apartment,387500,IRAQ,[],apartment sale located erbil spanish village 2 area 320m price 387 500 consists 4 bedroom 1 kitchen 1 living room 1 hall 4 bathroom,spacious 4 bedroom apartment spanish village 2,Erbil
Modern 1 Room Apartment for Sale,1.0,1.0,699,"Atlantic City, Erbil",https://homele.com/properties/modern-1-room-apartment-for-sale-83432,"Apartment For Sale, located in Erbil, Atlantic City, with an area of 65m, the price is $41,000. - Building 22 Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor number: G","['parking', 'security', 'sports_recreation']",Apartment,41000,IRAQ,"['Parking Spaces', 'Security Staff', 'Playground', 'Market', 'Elevator', 'Medical Center']",apartment sale located erbil atlantic city area 65m price 41 000 building 22 consists 1 bedroom 1 kitchen 1 living room 1 bathroom floor number g,modern 1 room apartment sale,Erbil
Desirable Residential Plot in Erbil,3.0,2.0,3229,"Baghlumnara, Erbil",https://homele.com/properties/desirable-residential-plot-in-erbil-83413,"Residential Plot For Sale, located in Erbil, Baghlumnara, with an area of 300m, the price is $81,000.",[],Residential Plot,81000,IRAQ,[],residential plot sale located erbil baghlumnara area 300m price 81 000,desirable residential plot erbil,Erbil
Cozy Apartment for Rent in Erbil,3.0,1.0,861,"Rami Towers, Erbil",https://homele.com/properties/cozy-apartment-for-rent-in-erbil-83422,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 80m, the price is $56,000. Consists of: - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 20",[],Apartment,56000,IRAQ,[],apartment sale located erbil ramus tower area 80m price 56 000 consists 1 kitchen 1 hall 1 bathroom floor number 20,cozy apartment rent erbil,Erbil
Modern Studio in Prime Location,3.0,1.0,1345,"Rami Towers, Erbil",https://homele.com/properties/modern-studio-in-prime-location-83399,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 125m, the price is $75,000. Consists of: - Studio - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 11","['parking', 'security', 'electricity', 'balcony']",Apartment,75000,IRAQ,"['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",apartment sale located erbil ramus tower area 125m price 75 000 consists studio 1 kitchen 1 hall 1 bathroom floor number 11,modern studio prime location,Erbil
Spacious 2BR Apartment in Empire Wings,2.0,2.0,1345,"Empire Wings, Erbil",https://homele.com/properties/spacious-2br-apartment-in-empire-wings-83398,"Apartment For Sale, located in Erbil, Empire Wings, with an area of 125m, the price is $150,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 29","['parking', 'security', 'electricity', 'balcony']",Apartment,150000,IRAQ,"['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",apartment sale located erbil empire wing area 125m price 150 000 negotiable consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 29,spacious 2br apartment empire wing,Erbil
VIP Apartment,2.0,2.0,1248,"Life Towers, Erbil",https://homele.com/properties/vip-apartment-83429,"Furnished Apartment For Sale, located in Erbil, Life Towers, with an area of 116m, the price is $88,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 16",[],Apartment,88000,IRAQ,[],furnished apartment sale located erbil life tower area 116m price 88 000 negotiable consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 16,vip apartment,Erbil
