title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country,price_per_sqft,description_word_count,description_char_count,title_word_count,title_char_count,amenities_word_count,amenities_char_count,has_security_amenities,has_parking_amenities,has_pool_amenities,has_gym_amenities,has_kitchen_amenities,has_outdoor_amenities,has_luxury_amenities,has_utilities_amenities,total_amenities
Modern Home with 4 Bedrooms,4.0,3.0,2152.78,"Al Jawahery Residential City, Baghdad",https://homele.com/properties/modern-home-with-4-bedrooms-75696,"House For Sale, located in Baghdad, Al Jawahery Residential City, with an area of 200m², the price is IQD 290,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms - Sales Center : Baghdad - Al Mansour - Jordan Street - Near Said Halib intersection - Call Center : 7740 - WhatsApp : +9647874777177","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",House,204514.0,Iraq,94.99995354843504,63,329,5,27,12,106,2,1,1,0,0,1,0,0,6
Modern House in Emerald City,2.0,3.0,1722.22,"Emerald City, Kirkuk",https://homele.com/properties/modern-house-in-emerald-city-72320,"House For Sale, located in Kirkuk, Emerald City, with an area of 160m², the price is IQD 210,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Sewerage System', '24hr Electricity']",House,148096.0,Iraq,85.99133676301517,36,178,5,28,12,110,2,1,1,0,0,1,0,1,6
1 Bed Apartment with Views,1.0,1.0,968.75,"Baghdad View, Baghdad",https://homele.com/properties/1-bed-apartment-with-views-75156,"Apartment For Sale, located in Baghdad, Baghdad View, with an area of 90m², the price is IQD 110,500,000. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom",[],Apartment,77927.0,Iraq,80.44077419354839,32,164,5,26,1,2,0,0,0,0,0,0,0,0,0
Elegant 1 Bedroom Apartment,1.0,1.0,1001.04,"Boulevard, Erbil",https://homele.com/properties/elegant-1-bedroom-apartment-82905,"Apartment For Sale, located in Erbil, Boulevard, with an area of 92.5m², the price is $103,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor number: 13","['Balcony', 'Central Air-Conditioner', '24hr Electricity', 'Green Area', 'Car Washing', 'Central Fire Fighting System']",Apartment,103500.0,Iraq,103.39247182929753,35,180,4,27,13,119,0,0,0,0,0,1,0,1,6
Elegant 3-Bedroom Apartment with Beautiful Views,3.0,3.0,1840.63,"Emperor Hills Complex, Baghdad",https://homele.com/properties/elegant-3-bedroom-apartment-with-beautiful-views-74919,"University Teachers Offers: * The Down Payment has been increased to (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 171m², the price is IQD 299,250,000. - Building C6 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 10","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",Apartment,211037.0,Iraq,114.65476494461134,62,351,6,48,12,108,2,1,1,0,0,1,0,0,6
Residential Plot Opposite Garden,3.0,2.0,1614.59,"Baghlumnara, Erbil",https://homele.com/properties/residential-plot-opposite-garden-83415,"Residential Plot For Sale, located in Erbil, Baghlumnara, with an area of 150m², the price is $49,000.",[],Residential Plot,49000.0,Iraq,30.348261787822295,17,102,4,32,1,2,0,0,0,0,0,0,0,0,0
Residential Plot Opposite Garden,3.0,2.0,3229.17,"Azza, Erbil",https://homele.com/properties/residential-plot-opposite-garden-83425,"Residential Plot For Sale, located in Erbil, Azza, with an area of 300m², the price is $32,500.",[],Residential Plot,32500.0,Iraq,10.064505739865043,17,95,4,32,1,2,0,0,0,0,0,0,0,0,0
Spacious House with Multiple Rooms,4.0,3.0,2152.78,"Hakmawa, Erbil",https://homele.com/properties/spacious-house-with-multiple-rooms-83423,"House For Sale, located in Erbil, Hakmawa, with an area of 200m², the price is $200,000. Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces', 'Green Area']",House,200000.0,Iraq,92.90312990644654,38,185,5,34,5,43,0,1,1,0,0,1,0,0,3
Modern 2-Bedroom Apartment for Sale,2.0,2.0,1399.31,"Empire Pearl Towers, Erbil",https://homele.com/properties/modern-2-bedroom-apartment-for-sale-83412,"Apartment For Sale, located in Erbil, Empire Pearl Towers, with an area of 130m², the price is $135,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 18","['Balcony', 'Parking Spaces', 'Electricity Generator', 'Double Glazed Windows', 'Satellite/Cable TV', 'CCTV Security']",Apartment,135000.0,Iraq,96.47612037361272,37,197,5,35,12,118,2,1,1,0,0,1,0,2,6
Spacious 4-Bedroom Apartment in Spanish Village 2,4.0,4.0,3444.45,"Spanish Village 2, Erbil",https://homele.com/properties/spacious-4-bedroom-apartment-in-spanish-village-2-83428,"Apartment For Sale, located in Erbil, Spanish Village 2, with an area of 320m², the price is $387,500. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms",[],Apartment,387500.0,Iraq,112.49981854867977,36,179,7,49,1,2,0,0,0,0,0,0,0,0,0
Modern 1 Room Apartment for Sale,1.0,1.0,699.65,"Atlantic City, Erbil",https://homele.com/properties/modern-1-room-apartment-for-sale-83432,"Apartment For Sale, located in Erbil, Atlantic City, with an area of 65m², the price is $41,000. - Building 22 Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor number: G","['Parking Spaces', 'Security Staff', 'Playground', 'Market', 'Elevator', 'Medical Center']",Apartment,41000.0,Iraq,58.60072893589652,39,194,6,32,9,90,1,1,1,0,0,0,0,0,6
Desirable Residential Plot in Erbil,3.0,2.0,3229.17,"Baghlumnara, Erbil",https://homele.com/properties/desirable-residential-plot-in-erbil-83413,"Residential Plot For Sale, located in Erbil, Baghlumnara, with an area of 300m², the price is $81,000.",[],Residential Plot,81000.0,Iraq,25.083845074740566,17,102,5,35,1,2,0,0,0,0,0,0,0,0,0
Cozy Apartment for Rent in Erbil,3.0,1.0,861.11,"Rami Towers, Erbil",https://homele.com/properties/cozy-apartment-for-rent-in-erbil-83422,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 80m², the price is $56,000. Consists of: - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 20",[],Apartment,56000.0,Iraq,65.03234197721545,32,160,6,32,1,2,0,0,0,0,0,0,0,0,0
Modern Studio in Prime Location,3.0,1.0,1345.49,"Rami Towers, Erbil",https://homele.com/properties/modern-studio-in-prime-location-83399,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 125m², the price is $75,000. Consists of: - Studio - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 11","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",Apartment,75000.0,Iraq,55.741774372161814,34,170,5,31,10,96,2,1,1,0,0,1,0,2,6
Spacious 2BR Apartment in Empire Wings,2.0,2.0,1345.49,"Empire Wings, Erbil",https://homele.com/properties/spacious-2br-apartment-in-empire-wings-83398,"Apartment For Sale, located in Erbil, Empire Wings, with an area of 125m², the price is $150,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 29","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",Apartment,150000.0,Iraq,111.48354874432363,36,190,6,38,10,96,2,1,1,0,0,1,0,2,6
