title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country
Modern Home with 4 Bedrooms,4,3,2152.78 sqft,"Al Jawahery Residential City, Baghdad",https://homele.com/properties/modern-home-with-4-bedrooms-75696,"House For Sale, located in Baghdad, Al Jawahery Residential City, with an area of 200m², the price is IQD 290,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms - Sales Center : Baghdad - Al Mansour - Jordan Street - Near Said Halib intersection - Call Center : 7740 - WhatsApp : +9647874777177","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",House,"$204,514",Iraq
Modern House in Emerald City,2,3,1722.22 sqft,"Emerald City, Kirkuk",https://homele.com/properties/modern-house-in-emerald-city-72320,"House For Sale, located in Kirkuk, Emerald City, with an area of 160m², the price is IQD 210,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Sewerage System', '24hr Electricity']",House,"$148,096",Iraq
1 Bed Apartment with Views,1,1,968.75 sqft,"Baghdad View, Baghdad",https://homele.com/properties/1-bed-apartment-with-views-75156,"Apartment For Sale, located in Baghdad, Baghdad View, with an area of 90m², the price is IQD 110,500,000. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom",[],Apartment,"$77,927",Iraq
Elegant 1 Bedroom Apartment,1,1,1001.04 sqft,"Boulevard, Erbil",https://homele.com/properties/elegant-1-bedroom-apartment-82905,"Apartment For Sale, located in Erbil, Boulevard, with an area of 92.5m², the price is $103,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor number: 13","['Balcony', 'Central Air-Conditioner', '24hr Electricity', 'Green Area', 'Car Washing', 'Central Fire Fighting System']",Apartment,"$103,500",Iraq
Elegant 3-Bedroom Apartment with Beautiful Views,3,3,1840.63 sqft,"Emperor Hills Complex, Baghdad",https://homele.com/properties/elegant-3-bedroom-apartment-with-beautiful-views-74919,"University Teachers Offers: * The Down Payment has been increased to (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 171m², the price is IQD 299,250,000. - Building C6 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 10","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",Apartment,"$211,037",Iraq
Residential Plot Opposite Garden,N/A,N/A,1614.59 sqft,"Baghlumnara, Erbil",https://homele.com/properties/residential-plot-opposite-garden-83415,"Residential Plot For Sale, located in Erbil, Baghlumnara, with an area of 150m², the price is $49,000.",[],Residential Plot,"$49,000",Iraq
Residential Plot Opposite Garden,N/A,N/A,3229.17 sqft,"Azza, Erbil",https://homele.com/properties/residential-plot-opposite-garden-83425,"Residential Plot For Sale, located in Erbil, Azza, with an area of 300m², the price is $32,500.",[],Residential Plot,"$32,500",Iraq
Spacious House with Multiple Rooms,4,3,2152.78 sqft,"Hakmawa, Erbil",https://homele.com/properties/spacious-house-with-multiple-rooms-83423,"House For Sale, located in Erbil, Hakmawa, with an area of 200m², the price is $200,000. Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2","['Balcony', 'Parking Spaces', 'Green Area']",House,"$200,000",Iraq
Modern 2-Bedroom Apartment for Sale,2,2,1399.31 sqft,"Empire Pearl Towers, Erbil",https://homele.com/properties/modern-2-bedroom-apartment-for-sale-83412,"Apartment For Sale, located in Erbil, Empire Pearl Towers, with an area of 130m², the price is $135,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 18","['Balcony', 'Parking Spaces', 'Electricity Generator', 'Double Glazed Windows', 'Satellite/Cable TV', 'CCTV Security']",Apartment,"$135,000",Iraq
5 Bedroom House for Sale,5,4,4208.68 sqft,"Aram Village 2, Erbil",https://homele.com/properties/5-bedroom-house-for-sale-83426,"House For Sale, located in Erbil, Aram Village 2, with an area of 391m², the price is $600,000. Consists of: - 5 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms",[],House,"$600,000",Iraq
Spacious 4-Bedroom Apartment in Spanish Village 2,4,4,3444.45 sqft,"Spanish Village 2, Erbil",https://homele.com/properties/spacious-4-bedroom-apartment-in-spanish-village-2-83428,"Apartment For Sale, located in Erbil, Spanish Village 2, with an area of 320m², the price is $387,500. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms",[],Apartment,"$387,500",Iraq
Modern 1 Room Apartment for Sale,1,1,699.65 sqft,"Atlantic City, Erbil",https://homele.com/properties/modern-1-room-apartment-for-sale-83432,"Apartment For Sale, located in Erbil, Atlantic City, with an area of 65m², the price is $41,000. - Building 22 Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor number: G","['Parking Spaces', 'Security Staff', 'Playground', 'Market', 'Elevator', 'Medical Center']",Apartment,"$41,000",Iraq
Desirable Residential Plot in Erbil,N/A,N/A,3229.17 sqft,"Baghlumnara, Erbil",https://homele.com/properties/desirable-residential-plot-in-erbil-83413,"Residential Plot For Sale, located in Erbil, Baghlumnara, with an area of 300m², the price is $81,000.",[],Residential Plot,"$81,000",Iraq
Cozy Apartment for Rent in Erbil,Studio,1,861.11 sqft,"Rami Towers, Erbil",https://homele.com/properties/cozy-apartment-for-rent-in-erbil-83422,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 80m², the price is $56,000. Consists of: - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 20",[],Apartment,"$56,000",Iraq
Modern Studio in Prime Location,Studio,1,1345.49 sqft,"Rami Towers, Erbil",https://homele.com/properties/modern-studio-in-prime-location-83399,"Apartment For Sale, located in Erbil, Rami Towers, with an area of 125m², the price is $75,000. Consists of: - Studio - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 11","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",Apartment,"$75,000",Iraq
Spacious 2BR Apartment in Empire Wings,2,2,1345.49 sqft,"Empire Wings, Erbil",https://homele.com/properties/spacious-2br-apartment-in-empire-wings-83398,"Apartment For Sale, located in Erbil, Empire Wings, with an area of 125m², the price is $150,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 29","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', '24hr Electricity', 'Internet']",Apartment,"$150,000",Iraq
VIP Apartment,2,2,1248.61 sqft,"Life Towers, Erbil",https://homele.com/properties/vip-apartment-83429,"Furnished Apartment For Sale, located in Erbil, Life Towers, with an area of 116m², the price is $88,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 16",[],Apartment,"$88,000",Iraq
Well-Located 1BR Apartment in Erbil,1,1,1044.1 sqft,"Boulevard, Erbil",https://homele.com/properties/well-located-1br-apartment-in-erbil-74211,"Apartment For Sale, located in Erbil, Boulevard, with an area of 97m², the price is $102,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom - Floor number: 2","['Balcony', 'Parking Spaces', 'CCTV Security', 'Security Staff', 'Green Area']",Apartment,"$102,500",Iraq
Spacious Furnished Apartment in Sulaymaniyah,3,2,1614.59 sqft,"Shari Pzishkan, Sulaymaniyah",https://homele.com/properties/spacious-furnished-apartment-in-sulaymaniyah-82859,"Furnished Apartment For Sale, located in Sulaymaniyah, Shari Pzishkan, with an area of 150m², the price is $80,000. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Living Room - 2 Bathrooms - Floor number: 9","['Balcony', 'Parking Spaces', 'Electricity Generator', 'Central Heating', 'Double Glazed Windows', 'Storage Space']",Apartment,"$80,000",Iraq
Corner Apartment,2,2,1937.5 sqft,"Vana Towers, Erbil",https://homele.com/properties/corner-apartment-82690,"Apartment For Sale, located in Erbil, Vana Towers, with an area of 180m², the price is $135,000. - Internal View Apartment - Building C Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$135,000",Iraq
Luxurious Apartment with 2 Bedrooms,2,2,2163.54 sqft,"Swiss Compound, Baghdad",https://homele.com/properties/luxurious-apartment-with-2-bedrooms-82095,"Apartment For Sale, located in Baghdad, Swiss Compound, with an area of 201m², the down payment price is $22,914. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 18","['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'Double Glazed Windows', 'Satellite/Cable TV']",Apartment,"$286,425",Iraq
Spacious Family Home in Kirkuk,4,2,2152.78 sqft,"Spanish Village, Kirkuk",https://homele.com/properties/spacious-family-home-in-kirkuk-82866,"Normal House For Sale, located in Kirkuk, Spanish Village, with an area of 200m², the price is IQD 200,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Balcony', 'Double Glazed Windows', 'Storage Space', '24hr Electricity', 'Internet', 'Green Area']",House,"$141,044",Iraq
Apartment with 4 Bedrooms,4,4,2960.07 sqft,"Downtown, Baghdad",https://homele.com/properties/apartment-with-4-bedrooms-80544,"Apartment For Sale, located in Baghdad, Downtown, with an area of 275m², the price is IQD 591,250,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 4 Bathrooms","['Balcony', 'Parking Spaces', 'Electricity Generator', 'Central Air-Conditioner', 'Double Glazed Windows', 'Satellite/Cable TV']",Apartment,"$416,961",Iraq
Apartment in Installment,2,2,1689.93 sqft,"English Tower, Erbil",https://homele.com/properties/apartment-in-installment-71085,"Apartment For Sale, located in Erbil, English Tower, with an area of 157m², the price is $167,990. - Building A5 Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 3","['Balcony', 'Parking Spaces', 'Central Heating', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$167,990",Iraq
Family Home with 4 Bedrooms,4,2,2152.78 sqft,"Louloua Residential Compound, Kirkuk",https://homele.com/properties/family-home-with-4-bedrooms-76079,"House For Sale, located in Kirkuk, Louloua Residential Compound, with an area of 200m², the price is IQD 180,000,000. - Type A Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 2 Bathrooms","['Balcony', 'CCTV Security', 'Sewerage System', '24hr Electricity', 'Internet', 'Green Area']",House,"$126,940",Iraq
Modern Apartment For Sale,2,1,1614.59 sqft,"Buruj Residential Complex, Baghdad",https://homele.com/properties/modern-apartment-for-sale-68998,"Apartment For Sale, located in Baghdad, Buruj Residential Complex, with an area of 149.98m², the price is $272,964. - Building Laguna D Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 1 Bathroom","['Balcony', 'Central Air-Conditioner', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",Apartment,"$272,964",Iraq
Luxury 4 Bedroom Apartment,4,3,2098.96 sqft,"Emperor Hills Complex, Baghdad",https://homele.com/properties/luxury-4-bedroom-apartment-71733,"University Teachers Offers: * The Down Payment has been increased to 19,012,500 IQD (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 195m², the price is IQD 380,250,000. - Building B4 Consists of: - 4 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 7","['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",Apartment,"$268,160",Iraq
Modern Apartment with 2 Bedrooms,2,2,1797.57 sqft,"Alaska Towers, Erbil",https://homele.com/properties/modern-apartment-with-2-bedrooms-73342,"Apartment For Sale, located in Erbil, Alaska Towers, with an area of 167m², the price is $128,860. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 13","['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Security Staff', 'Sewerage System']",Apartment,"$128,860",Iraq
Apartment in Installment,2,2,1636.11 sqft,"Wais Tower, Sulaymaniyah",https://homele.com/properties/apartment-in-installment-65320,"Apartment For Sale, located in Sulaymaniyah, Wais Tower, with an area of 152.2m², the price is $106,400. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Balcony', 'Electricity Generator', 'Central Air-Conditioner', 'Double Glazed Windows', 'CCTV Security', 'Waste Disposal']",Apartment,"$106,400",Iraq
Apartment (223m²),3,3,2400.35 sqft,"London Towers, Erbil",https://homele.com/properties/apartment-223m2-65577,"Apartment For Sale, located in Erbil, London Towers, with an area of 223m², the price is $220,770. - Building A Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms","['Central Air-Conditioner', 'Central Heating', 'Double Glazed Windows', 'Security Staff', '24hr Electricity', 'Playground']",Apartment,"$220,770",Iraq
Apartment (206m²),3,2,2217.36 sqft,"Pak Towers, Sulaymaniyah",https://homele.com/properties/apartment-206m2-65674,"Apartment For Sale, located in Sulaymaniyah, Pak Towers, with an area of 206m², the price is $185,000. Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms","['Balcony', 'Parking Spaces', 'Central Air-Conditioner', 'Central Heating', 'Double Glazed Windows', 'Storage Space']",Apartment,"$185,000",Iraq
